id,timestamp,customer_id,channel,content,sentiment,pain_category
FB-0001,2025-09-01 10:10:50,C0035,Email客服,可以開放LINE文字客服嗎 電話常常排隊很久 📝,中性,客服回應
FB-0002,2025-09-01 12:52:35,C0007,蝦皮評價,ORD-202602-05485 申訴到現在沒人理 我要申訴消保會 😒😡😡😡😡😩,強烈負,客服回應
FB-0003,2025-09-03 07:59:13,C0055,蝦皮評價,退貨都比你們送貨快 物流根本是擺設 ‼️ 🚨😩,強烈負,配送延遲
FB-0004,2025-09-06 05:10:03,C0137,Facebook粉絲頁,預計到貨日已經過了，目前狀態查不到，麻煩客服協助 📝,中性,配送延遲
FB-0005,2025-09-06 08:58:30,C0064,客服電話,想反映一下，常常會無預警延後一天送達 ❓🚚,中性,配送延遲
FB-0006,2025-09-06 10:59:29,C0055,蝦皮評價,打電話過去等了快20分鐘 都是音樂沒人接,負,客服回應
FB-0007,2025-09-07 06:13:40,C0080,LINE@,預計到或日已經過了，目前狀態查不到，麻煩客服協助,中性,配送延遲
FB-0008,2025-09-07 10:17:21,C0085,Google評論,貨已經出貨8天為什麼還沒到？ 💬,中性,配送延遲
FB-0009,2025-09-07 13:11:29,C0006,LINE@,台北地區是不是常常比較慢？已經第三次了 📦,中性,配送延遲
FB-0010,2025-09-08 15:26:05,C0105,官網表單,包裝完全沒做防護 玻璃罐當然碎了 ⚠️😞⏰,負,貨損
FB-0011,2025-09-11 15:17:55,C0149,蝦皮評價,想反映大量塑膠袋的問提 雖然不影響使用 🚚🙋,中性,包裝環保
FB-0012,2025-09-12 21:39:47,C0028,官網表單,整箱都濕的還發霉 你們倉庫是漏水嗎 這怎麼吃 退！,強烈負,貨損
FB-0013,2025-09-13 02:00:58,C0020,官網表單,客服小弟太度差 一直打斷我說話 沒禮貌 😢⏰⏰,負,客服回應
FB-0014,2025-09-13 19:37:52,C0087,官網表單,可以開放LINE文字客服嗎 電話常常排隊很久 🙋🚚,中性,客服回應
FB-0015,2025-09-16 06:59:04,C0033,Shopee聊聊,新北送來得箱子整個變形 內容物搖一搖都會晃 應該都壞了 😡😢😢,負,貨損
FB-0016,2025-09-16 20:40:13,C0003,Google評論,想問email客服回覆要多久 一斤三天了,中性,客服回應
FB-0017,2025-09-19 06:08:31,C0056,官網表單,等了一個禮拜 受到的時候我都忘了買什麼了,負,配送延遲
FB-0018,2025-09-19 10:00:25,C0109,Email客服,雞蛋盒壓扁 裡面碎了七顆 又不是第一次了 😤,負,貨損
FB-0019,2025-09-19 19:05:58,C0003,Facebook粉絲頁,客服語氣很不耐煩 是被我問煩了嗎 我也是消費者 🔥,負,客服回應
FB-0020,2025-09-20 22:56:28,C0007,蝦皮評價,請問配送時段可以指定嗎？已經兩次都送來時我不在 ❓❓,中性,配送延遲
FB-0021,2025-09-22 05:00:13,C0097,Google評論,三個馬克杯破兩個 你們是用丟的嗎,負,貨損
FB-0022,2025-09-22 09:24:06,C0062,LINE@,已經跟你們客服反映三次  😢 每次都說會處理 屁,負,配送延遲
FB-0023,2025-09-22 16:22:01,C0080,蝦皮評價,客服語氣很不耐煩  ⚠️ 是被我問煩了嗎 我也是消費者,負,客服回應
FB-0024,2025-09-22 23:47:11,C0056,Facebook粉絲頁,預計8/8  😡 到貨拖到現在 服務這麼差以後不會再買了,負,配送延遲
FB-0025,2025-09-23 19:01:06,C0135,Google評論,上次客服說會回電 結果到現在沒消息,負,客服回應
FB-0026,2025-09-25 16:10:02,C0105,Shopee聊聊,螢幕送到角落已經裂開 包裝也只用一層泡泡紙,負,貨損
FB-0027,2025-09-26 17:20:09,C0043,Email客服,包裝盒上的標示太多看不懂 口以做圖示嗎 📝,中性,包裝環保
FB-0028,2025-09-27 05:48:33,C0103,Email客服,電話打去客付直接說「不然你想怎樣」 ‼️ 這誰教得 🤬⏰,強烈負,客服回應
FB-0029,2025-09-27 13:46:06,C0149,Google評論,酒瓶到貨時已經漏一半 整箱都是味道 🔥,負,貨損
FB-0030,2025-09-29 23:57:51,C0007,LINE@,退貨都比你們送貨快 物流根本是擺設 ‼️ 😞🚨⚠️⚠️😡,強烈負,配送延遲
FB-0031,2025-10-01 12:52:35,C0002,客服電話,一斤跟妳們客服反映三次 每次都說會處理 屁 ⏰,負,配送延遲
FB-0032,2025-10-03 17:07:45,C0053,蝦皮評價,預計4/15 結果延到4/22 中間都沒人通知 😩⏰😤,負,配送延遲
FB-0033,2025-10-07 04:46:03,C0094,Google評論,用了一堆塑膠袋 跟你們的環保口號完全相反 🔥💢,負,包裝環保
FB-0034,2025-10-07 09:13:11,C0024,Facebook粉絲頁,膠帶換成紙膠帶會更厚 撕下回收方便 🙋,中性,包裝環保
FB-0035,2025-10-08 11:10:18,C0011,蝦皮評價,包紮改成可分解材料超棒 支持環保 🌱 👍👍,正,包裝環保
FB-0036,2025-10-09 01:52:01,C0017,Email客服,貨已經出貨6天為什麼還沒到？,中性,配送延遲
FB-0037,2025-10-09 09:30:33,C0108,官網表單,基隆天氣又沒不好  ⚠️😞⚠️ 為什麼說因為天候延誤,負,配送延遲
FB-0038,2025-10-09 14:37:27,C0023,Shopee聊聊,雞蛋盒子有些壓痕 還沒打開檢查 🤔🙋,中性,貨損
FB-0039,2025-10-12 07:21:26,C0035,Shopee聊聊,請門你們客服的上班時間是？打了三次都沒人接 📞📦,中性,客服回應
FB-0040,2025-10-13 10:29:53,C0050,Email客服,整箱填充物比商品還多 浪費資源 😞😒😒,負,包裝環保
FB-0041,2025-10-14 01:35:16,C0058,Google評論,電子產品外殼有刮傷 全新得怎么會這樣,負,貨損
FB-0042,2025-10-14 16:02:52,C0088,Google評論,台南門市的客服跟總公司客服說的不一樣 到底聽誰 😡😞,負,客服回應
FB-0043,2025-10-15 04:06:36,C0041,LINE@,ORD-202601-01282 拖了十天還沒到 客服回我「再耐心等候」 你來等啊！ 🤬😡😡😡😩💢,強烈負,配送延遲
FB-0044,2025-10-15 06:31:01,C0026,蝦皮評價,把氣泡袋換成碎紙填充 環保又厚處哩 👍✨🙏,正,包裝環保
FB-0045,2025-10-15 06:45:56,C0015,蝦皮評價,說會準時送，結果讓我請假在家等一整天 白等,負,配送延遲
FB-0046,2025-10-15 12:28:53,C0063,官網表單,已下單9天，物流追蹤一直顯示「燈待取件」，是不是漏單,中性,配送延遲
FB-0047,2025-10-17 06:34:46,C0108,Shopee聊聊,急用的東西 結果晚了三天 到貨已經來不及用了 😒⏰,負,配送延遲
FB-0048,2025-10-18 12:49:20,C0012,Email客服,客服小弟態度差 一直打斷我說話 沒禮貌,負,客服回應
FB-0049,2025-10-18 20:25:21,C0075,LINE@,貨已經出貨12天為什麼還沒到？ 📷❓,中性,配送延遲
FB-0050,2025-10-20 12:36:47,C0037,官網表單,我家高雄是不是被你們列為偏遠地區了 怎麼這麼久,負,配送延遲
FB-0051,2025-10-20 14:58:04,C0056,官網表單,急用的東西 結果晚了三天 到貨一斤來不及用了,負,配送延遲
FB-0052,2025-10-22 07:12:29,C0097,客服電話,說會準時送，結果讓我請假在家等一整天 白等 ⏰🔥⚠️,負,配送延遲
FB-0053,2025-10-22 21:30:43,C0051,Email客服,台南天氣又沒不厚 為什麼說因為天候延誤,負,配送延遲
FB-0054,2025-10-22 23:34:51,C0025,LINE@,ORD-202507-03021 從上禮拜到現在還沒到，每次客服都說明天明天 😞😞,負,配送延遲
FB-0055,2025-10-25 08:22:43,C0102,官網表單,司機宜蘭說找不到地址就放著走，誰要負責,負,配送延遲
FB-0056,2025-10-27 00:39:05,C0007,LINE@,新版的紙箱可以重複使用 設計很貼心 🎉💚,正,包裝環保
