sku_id,sku_name,temp_zone,current_qty,safe_stock,last_replenish,lead_time_days
SKU001,鮮乳 1L,冷藏,30,100,2026-05-16,1
SKU002,優格 100g,冷藏,25,80,2026-05-06,2
SKU003,冷藏雞胸肉 500g,冷藏,45,120,2026-05-11,1
SKU004,冷凍水餃 500g,冷凍,18,60,2026-05-09,3
SKU005,罐頭蕃茄 410g,常溫,90,200,2026-05-10,2
SKU006,新鮮蛋 30 入,冷藏,35,50,2026-05-05,1
SKU007,起司片 200g,冷藏,60,90,2026-05-14,2
SKU008,麵包 600g,常溫,110,150,2026-05-15,1
SKU009,冷凍蔬菜 1kg,冷凍,50,70,2026-05-18,3
SKU010,豬絞肉 600g,冷藏,80,100,2026-05-08,2
SKU011,番茄醬 500g,常溫,130,180,2026-05-12,2
SKU012,雞翅 500g,冷凍,65,85,2026-05-13,3
SKU013,海苔 50g,常溫,175,220,2026-05-15,2
SKU014,礦泉水 500ml,常溫,620,500,2026-05-17,1
SKU015,罐頭鮪魚 150g,常溫,380,300,2026-05-16,2
SKU016,包裝米 5kg,常溫,195,150,2026-05-12,3
SKU017,包裝麵粉 1kg,常溫,290,240,2026-05-15,2
SKU018,醬油 1L,常溫,140,100,2026-05-18,2
SKU019,包裝糖 1kg,常溫,260,200,2026-05-14,3
SKU020,包裝鹽 600g,常溫,290,250,2026-05-07,3
SKU021,醬料 500g,常溫,200,180,2026-05-13,2
SKU022,冷凍鮭魚 500g,冷凍,110,80,2026-05-12,4
SKU023,冷藏沙拉 200g,冷藏,85,60,2026-05-06,1
SKU024,餅乾 200g,常溫,420,350,2026-05-17,2
SKU025,巧克力 100g,常溫,320,280,2026-05-06,2
SKU026,咖啡豆 250g,常溫,145,120,2026-05-16,3
SKU027,牛奶咖啡 500ml,冷藏,250,200,2026-05-14,1
SKU028,義大利麵 500g,常溫,195,160,2026-05-08,2
SKU029,包裝筷子 100 入,常溫,5800,5000,2026-05-10,3
SKU030,保鮮膜 30m,常溫,115,90,2026-05-17,2
